Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Beauvois-en-Vermandois,275,275,2
Becquigny,257,257,2
Belleau,140,140,1
Bellenglise,390,390,3
Belleu,3861,3861,3
Bellicourt,614,614,6
Benay,206,206,2
Bergues-sur-Sambre,219,219,2
Berlancourt,108,108,1
Berlise,113,113,1
Bernot,464,464,4
Berny-Rivière,667,667,6
Berrieux,189,189,1
Berry-au-Bac,658,658,6
Bertaucourt-Epourdon,614,614,6
Berthenicourt,201,201,2
Bertricourt,165,165,1
Berzy-le-Sec,394,394,3
Besmé,162,162,1
Besmont,152,152,1
Besny-et-Loizy,360,360,3
Béthancourt-en-Vaux,448,448,4
Beugneux,111,111,1
Beuvardes,764,764,7
Bézu-le-Guéry,265,265,2
Bézu-Saint-Germain,1069,1069,1
Bichancourt,1058,1058,1
Bieuxy,31,31,3
Bièvres,91,91,9
Billy-sur-Aisne,1175,1175,1
Billy-sur-Ourcq,223,223,2
Blanzy-lès-Fismes,107,107,1
Blérancourt,1348,1348,1
Blesmes,456,456,4
Bohain-en-Vermandois,5754,5754,5
Bois-lès-Pargny,204,204,2
Boncourt,261,261,2
Bonneil,389,389,3
Bonnesvalyn,241,241,2
Bony,138,138,1
Bosmont-sur-Serre,198,198,1
Bouconville-Vauclair,193,193,1
Boué,1339,1339,1
Bouffignereux,106,106,1
Bouresches,207,207,2
Bourg-et-Comin,833,833,8
Bourguignon-sous-Coucy,107,107,1
Bourguignon-sous-Montbavin,162,162,1
La Bouteille,496,496,4
Braine,2238,2238,2
Brancourt-en-Laonnois,720,720,7
Brancourt-le-Grand,578,578,5
Brasles,1565,1565,1
Bray-Saint-Christophe,67,67,6
Braye,123,123,1
Braye-en-Laonnois,209,209,2
Braye-en-Thiérache,147,147,1
Brécy,347,347,3
Brenelle,199,199,1
Breny,248,248,2
Brie,55,55,5
Brissay-Choigny,309,309,3
Brissy-Hamégicourt,663,663,6
Brumetz,216,216,2
Brunehamel,461,461,4
Bruyères-et-Montbérault,1568,1568,1
Bruyères-sur-Fère,194,194,1
Bruys,19,19,1
Bucilly,200,200,2
Bucy-le-Long,1922,1922,1
Bucy-lès-Cerny,206,206,2
Bucy-lès-Pierrepont,417,417,4
Buire,886,886,8
Buironfosse,1184,1184,1
Burelles,132,132,1
Bussiares,152,152,1
Buzancy,192,192,1
Caillouël-Crépigny,446,446,4
Camelin,461,461,4
La Capelle,1867,1867,1
Castres,249,249,2
Le Catelet,198,198,1
Caulaincourt,148,148,1
Caumont,564,564,5
Celles-lès-Condé,88,88,8
Celles-sur-Aisne,260,260,2
Cerizy,67,67,6
Cerny-en-Laonnois,64,64,6
Cerny-lès-Bucy,118,118,1
Cerseuil,90,90,9
Cessières-Suzy,783,783,7
Chacrise,368,368,3
Chaillevois,179,179,1
Chalandry,254,254,2
Chambry,860,860,8
Chamouille,286,286,2
Champs,283,283,2
Chaourse,550,550,5
La Chapelle-sur-Chézy,283,283,2
Charly-sur-Marne,2659,2659,2
Le Charmel,323,323,3
Charmes,1680,1680,1
Chartèves,361,361,3
Chassemy,895,895,8
Château-Thierry,15486,15486,1
Châtillon-lès-Sons,83,83,8
Châtillon-sur-Oise,130,130,1
Chaudardes,88,88,8
Chaudun,259,259,2
Chauny,12317,12317,1
Chavignon,842,842,8
Chavigny,154,154,1
Chavonne,208,208,2
Chérêt,144,144,1
Chermizy-Ailles,108,108,1
Chéry-Chartreuve,402,402,4
Chéry-lès-Pouilly,718,718,7
Chéry-lès-Rozoy,81,81,8
Chevennes,128,128,1
Chevregny,188,188,1
Chevresis-Monceau,360,360,3
Chézy-en-Orxois,419,419,4
Chézy-sur-Marne,1398,1398,1
Chierry,1124,1124,1
Chigny,153,153,1
Chivres-en-Laonnois,370,370,3
Chivres-Val,542,542,5
Chivy-lès-Étouvelles,515,515,5
Chouy,377,377,3
Cierges,67,67,6
Cilly,201,201,2
Ciry-Salsogne,939,939,9
Clacy-et-Thierret,321,321,3
Clairfontaine,638,638,6
Clamecy,230,230,2
Clastres,644,644,6
Clermont-les-Fermes,121,121,1
Coincy,1329,1329,1
Coingt,69,69,6
Colligis-Crandelain,251,251,2
Colonfay,81,81,8
Commenchon,217,217,2
Concevreux,283,283,2
Condé-en-Brie,695,695,6
Condé-sur-Aisne,366,366,3
Condé-sur-Suippe,288,288,2
Condren,718,718,7
Connigis,334,334,3
Contescourt,62,62,6
Corbeny,807,807,8
Corcy,310,310,3
Coucy-la-Ville,289,289,2
Coucy-le-Château-Auffrique,1031,1031,1
Coucy-lès-Eppes,636,636,6
Coulonges-Cohan,451,451,4
Coupru,154,154,1
Courbes,31,31,3
Courboin,312,312,3
Courcelles-sur-Vesle,354,354,3
Courchamps,90,90,9
Courmelles,1856,1856,1
Courmont,134,134,1
Courtemont-Varennes,339,339,3
Courtrizy-et-Fussigny,67,67,6
Couvrelles,199,199,1
Couvron-et-Aumencourt,947,947,9
Coyolles,365,365,3
Cramaille,151,151,1
Craonne,82,82,8
Craonnelle,120,120,1
Crécy-au-Mont,349,349,3
Crécy-sur-Serre,1515,1515,1
Crépy,1868,1868,1
Crézancy,1314,1314,1
Croix-Fonsomme,260,260,2
La Croix-sur-Ourcq,107,107,1
Crouttes-sur-Marne,658,658,6
Crouy,2952,2952,2
Crupilly,67,67,6
Cuffies,1824,1824,1
Cugny,611,611,6
Cuirieux,160,160,1
Cuiry-Housse,102,102,1
Cuiry-lès-Chaudardes,80,80,8
Cuiry-lès-Iviers,29,29,2
Cuissy-et-Geny,73,73,7
Cuisy-en-Almont,358,358,3
Cutry,133,133,1
Cys-la-Commune,145,145,1
Cœuvres-et-Valsery,444,444,4
Dagny-Lambercy,128,128,1
Dallon,449,449,4
Dammard,392,392,3
Dampleux,413,413,4
Danizy,661,661,6
Dercy,400,400,4
Deuillet,219,219,2
Dhuizel,114,114,1
